profileID,respID,qID,altID,obsID,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,number_of_burners,image
178,2,7,1,15,Gas,1500,80,4,g4.jpg
74,2,7,2,15,Electric,500,90,3,e3.jpg
144,2,7,3,15,Induction,1500,60,4,i4.jpg
214,2,8,1,16,Gas,1500,100,4,g4.jpg
218,2,8,2,16,Electric,500,50,5,e5.jpg
240,2,8,3,16,Induction,700,60,5,i5.jpg
85,3,1,1,17,Gas,1300,90,3,g3.jpg
299,3,1,2,17,Electric,1100,90,5,e5.jpg
111,3,1,3,17,Induction,500,50,4,i4.jpg
298,3,2,1,18,Gas,1100,90,5,g5.jpg
167,3,2,2,18,Electric,700,80,4,e4.jpg
177,3,2,3,18,Induction,1300,80,4,i4.jpg
310,3,3,1,19,Gas,700,100,5,g5.jpg
41,3,3,2,19,Electric,700,70,3,e3.jpg
315,3,3,3,19,Induction,900,100,5,i5.jpg
187,3,4,1,20,Gas,900,90,4,g4.jpg
110,3,4,2,20,Electric,500,50,4,e4.jpg
42,3,4,3,20,Induction,700,70,3,i3.jpg
241,3,5,1,21,Gas,900,60,5,g5.jpg
167,3,5,2,21,Electric,700,80,4,e4.jpg
216,3,5,3,21,Induction,1500,100,4,i4.jpg
256,3,6,1,22,Gas,700,70,5,g5.jpg
185,3,6,2,22,Electric,700,90,4,e4.jpg
105,3,6,3,22,Induction,1300,100,3,i3.jpg
301,3,7,1,23,Gas,1300,90,5,g5.jpg
80,3,7,2,23,Electric,900,90,3,e3.jpg
60,3,7,3,23,Induction,700,80,3,i3.jpg
67,3,8,1,24,Gas,1300,80,3,g3.jpg
38,3,8,2,24,Electric,500,70,3,e3.jpg
141,3,8,3,24,Induction,1300,60,4,i4.jpg
37,4,1,1,25,Gas,500,70,3,g3.jpg
209,4,1,2,25,Electric,1100,100,4,e4.jpg
258,4,1,3,25,Induction,700,70,5,i5.jpg
247,4,2,1,26,Gas,1300,60,5,g5.jpg
188,4,2,2,26,Electric,900,90,4,e4.jpg
90,4,2,3,26,Induction,1500,90,3,i3.jpg
157,4,3,1,27,Gas,1300,70,4,g4.jpg
71,4,3,2,27,Electric,1500,80,3,e3.jpg
135,4,3,3,27,Induction,900,60,4,i4.jpg
256,4,4,1,28,Gas,700,70,5,g5.jpg
206,4,4,2,28,Electric,900,100,4,e4.jpg
36,4,4,3,28,Induction,1500,60,3,i3.jpg
133,4,5,1,29,Gas,900,60,4,g4.jpg
251,4,5,2,29,Electric,1500,60,5,e5.jpg
228,4,5,3,29,Induction,1100,50,5,i5.jpg
169,4,6,1,30,Gas,900,80,4,g4.jpg
77,4,6,2,30,Electric,700,90,3,e3.jpg
135,4,6,3,30,Induction,900,60,4,i4.jpg
127,4,7,1,31,Gas,500,60,4,g4.jpg
302,4,7,2,31,Electric,1300,90,5,e5.jpg
6,4,7,3,31,Induction,700,50,3,i3.jpg
304,4,8,1,32,Gas,1500,90,5,g5.jpg
5,4,8,2,32,Electric,700,50,3,e3.jpg
51,4,8,3,32,Induction,1300,70,3,i3.jpg
286,5,1,1,33,Gas,1500,80,5,g5.jpg
188,5,1,2,33,Electric,900,90,4,e4.jpg
282,5,1,3,33,Induction,1100,80,5,i5.jpg
118,5,2,1,34,Gas,1100,50,4,g4.jpg
137,5,2,2,34,Electric,1100,60,4,e4.jpg
84,5,2,3,34,Induction,1100,90,3,i3.jpg
67,5,3,1,35,Gas,1300,80,3,g3.jpg
158,5,3,2,35,Electric,1300,70,4,e4.jpg
66,5,3,3,35,Induction,1100,80,3,i3.jpg
103,5,4,1,36,Gas,1300,100,3,g3.jpg
278,5,4,2,36,Electric,900,80,5,e5.jpg
84,5,4,3,36,Induction,1100,90,3,i3.jpg
142,5,5,1,37,Gas,1500,60,4,g4.jpg
203,5,5,2,37,Electric,700,100,4,e4.jpg
264,5,5,3,37,Induction,1100,70,5,i5.jpg
76,5,6,1,38,Gas,700,90,3,g3.jpg
53,5,6,2,38,Electric,1500,70,3,e3.jpg
186,5,6,3,38,Induction,700,90,4,i4.jpg
25,5,7,1,39,Gas,900,60,3,g3.jpg
47,5,7,2,39,Electric,1100,70,3,e3.jpg
12,5,7,3,39,Induction,1100,50,3,i3.jpg
250,5,8,1,40,Gas,1500,60,5,g5.jpg
311,5,8,2,40,Electric,700,100,5,e5.jpg
321,5,8,3,40,Induction,1300,100,5,i5.jpg
64,6,1,1,41,Gas,1100,80,3,g3.jpg
140,6,1,2,41,Electric,1300,60,4,e4.jpg
273,6,1,3,41,Induction,500,80,5,i5.jpg
226,6,2,1,42,Gas,1100,50,5,g5.jpg
140,6,2,2,42,Electric,1300,60,4,e4.jpg
219,6,2,3,42,Induction,500,50,5,i5.jpg
58,6,3,1,43,Gas,700,80,3,g3.jpg
53,6,3,2,43,Electric,1500,70,3,e3.jpg
84,6,3,3,43,Induction,1100,90,3,i3.jpg
280,6,4,1,44,Gas,1100,80,5,g5.jpg
269,6,4,2,44,Electric,1500,70,5,e5.jpg
69,6,4,3,44,Induction,1300,80,3,i3.jpg
229,6,5,1,45,Gas,1300,50,5,g5.jpg
131,6,5,2,45,Electric,700,60,4,e4.jpg
144,6,5,3,45,Induction,1500,60,4,i4.jpg
289,6,6,1,46,Gas,500,90,5,g5.jpg
239,6,6,2,46,Electric,700,60,5,e5.jpg
105,6,6,3,46,Induction,1300,100,3,i3.jpg
298,6,7,1,47,Gas,1100,90,5,g5.jpg
77,6,7,2,47,Electric,700,90,3,e3.jpg
102,6,7,3,47,Induction,1100,100,3,i3.jpg
322,6,8,1,48,Gas,1500,100,5,g5.jpg
305,6,8,2,48,Electric,1500,90,5,e5.jpg
222,6,8,3,48,Induction,700,50,5,i5.jpg
67,7,1,1,49,Gas,1300,80,3,g3.jpg
5,7,1,2,49,Electric,700,50,3,e3.jpg
96,7,1,3,49,Induction,700,100,3,i3.jpg
220,7,2,1,50,Gas,700,50,5,g5.jpg
305,7,2,2,50,Electric,1500,90,5,e5.jpg
168,7,2,3,50,Induction,700,80,4,i4.jpg
316,7,3,1,51,Gas,1100,100,5,g5.jpg
143,7,3,2,51,Electric,1500,60,4,e4.jpg
288,7,3,3,51,Induction,1500,80,5,i5.jpg
148,7,4,1,52,Gas,700,70,4,g4.jpg
131,7,4,2,52,Electric,700,60,4,e4.jpg
249,7,4,3,52,Induction,1300,60,5,i5.jpg
247,7,5,1,53,Gas,1300,60,5,g5.jpg
212,7,5,2,53,Electric,1300,100,4,e4.jpg
42,7,5,3,53,Induction,700,70,3,i3.jpg
7,7,6,1,54,Gas,900,50,3,g3.jpg
254,7,6,2,54,Electric,500,70,5,e5.jpg
21,7,6,3,54,Induction,500,60,3,i3.jpg
28,7,7,1,55,Gas,1100,60,3,g3.jpg
2,7,7,2,55,Electric,500,50,3,e3.jpg
9,7,7,3,55,Induction,900,50,3,i3.jpg
55,7,8,1,56,Gas,500,80,3,g3.jpg
77,7,8,2,56,Electric,700,90,3,e3.jpg
213,7,8,3,56,Induction,1300,100,4,i4.jpg
82,8,1,1,57,Gas,1100,90,3,g3.jpg
218,8,1,2,57,Electric,500,50,5,e5.jpg
192,8,1,3,57,Induction,1100,90,4,i4.jpg
220,8,2,1,58,Gas,700,50,5,g5.jpg
20,8,2,2,58,Electric,500,60,3,e3.jpg
180,8,2,3,58,Induction,1500,80,4,i4.jpg
97,8,3,1,59,Gas,900,100,3,g3.jpg
248,8,3,2,59,Electric,1300,60,5,e5.jpg
102,8,3,3,59,Induction,1100,100,3,i3.jpg
280,8,4,1,60,Gas,1100,80,5,g5.jpg
224,8,4,2,60,Electric,900,50,5,e5.jpg
105,8,4,3,60,Induction,1300,100,3,i3.jpg
91,8,5,1,61,Gas,500,100,3,g3.jpg
107,8,5,2,61,Electric,1500,100,3,e3.jpg
192,8,5,3,61,Induction,1100,90,4,i4.jpg
295,8,6,1,62,Gas,900,90,5,g5.jpg
218,8,6,2,62,Electric,500,50,5,e5.jpg
273,8,6,3,62,Induction,500,80,5,i5.jpg
250,8,7,1,63,Gas,1500,60,5,g5.jpg
161,8,7,2,63,Electric,1500,70,4,e4.jpg
183,8,7,3,63,Induction,500,90,4,i4.jpg
178,8,8,1,64,Gas,1500,80,4,g4.jpg
41,8,8,2,64,Electric,700,70,3,e3.jpg
192,8,8,3,64,Induction,1100,90,4,i4.jpg
217,9,1,1,65,Gas,500,50,5,g5.jpg
182,9,1,2,65,Electric,500,90,4,e4.jpg
321,9,1,3,65,Induction,1300,100,5,i5.jpg
112,9,2,1,66,Gas,700,50,4,g4.jpg
290,9,2,2,66,Electric,500,90,5,e5.jpg
39,9,2,3,66,Induction,500,70,3,i3.jpg
313,9,3,1,67,Gas,900,100,5,g5.jpg
281,9,3,2,67,Electric,1100,80,5,e5.jpg
324,9,3,3,67,Induction,1500,100,5,i5.jpg
67,9,4,1,68,Gas,1300,80,3,g3.jpg
284,9,4,2,68,Electric,1300,80,5,e5.jpg
147,9,4,3,68,Induction,500,70,4,i4.jpg
232,9,5,1,69,Gas,1500,50,5,g5.jpg
305,9,5,2,69,Electric,1500,90,5,e5.jpg
186,9,5,3,69,Induction,700,90,4,i4.jpg
88,9,6,1,70,Gas,1500,90,3,g3.jpg
305,9,6,2,70,Electric,1500,90,5,e5.jpg
45,9,6,3,70,Induction,900,70,3,i3.jpg
70,9,7,1,71,Gas,1500,80,3,g3.jpg
167,9,7,2,71,Electric,700,80,4,e4.jpg
186,9,7,3,71,Induction,700,90,4,i4.jpg
127,9,8,1,72,Gas,500,60,4,g4.jpg
323,9,8,2,72,Electric,1500,100,5,e5.jpg
99,9,8,3,72,Induction,900,100,3,i3.jpg
85,10,1,1,73,Gas,1300,90,3,g3.jpg
257,10,1,2,73,Electric,700,70,5,e5.jpg
318,10,1,3,73,Induction,1100,100,5,i5.jpg
274,10,2,1,74,Gas,700,80,5,g5.jpg
23,10,2,2,74,Electric,700,60,3,e3.jpg
129,10,2,3,74,Induction,500,60,4,i4.jpg
208,10,3,1,75,Gas,1100,100,4,g4.jpg
35,10,3,2,75,Electric,1500,60,3,e3.jpg
114,10,3,3,75,Induction,700,50,4,i4.jpg
193,10,4,1,76,Gas,1300,90,4,g4.jpg
149,10,4,2,76,Electric,700,70,4,e4.jpg
3,10,4,3,76,Induction,500,50,3,i3.jpg
136,10,5,1,77,Gas,1100,60,4,g4.jpg
155,10,5,2,77,Electric,1100,70,4,e4.jpg
132,10,5,3,77,Induction,700,60,4,i4.jpg
103,10,6,1,78,Gas,1300,100,3,g3.jpg
77,10,6,2,78,Electric,700,90,3,e3.jpg
270,10,6,3,78,Induction,1500,70,5,i5.jpg
103,10,7,1,79,Gas,1300,100,3,g3.jpg
173,10,7,2,79,Electric,1100,80,4,e4.jpg
186,10,7,3,79,Induction,700,90,4,i4.jpg
4,10,8,1,80,Gas,700,50,3,g3.jpg
236,10,8,2,80,Electric,500,60,5,e5.jpg
252,10,8,3,80,Induction,1500,60,5,i5.jpg
115,11,1,1,81,Gas,900,50,4,g4.jpg
134,11,1,2,81,Electric,900,60,4,e4.jpg
222,11,1,3,81,Induction,700,50,5,i5.jpg
274,11,2,1,82,Gas,700,80,5,g5.jpg
17,11,2,2,82,Electric,1500,50,3,e3.jpg
42,11,2,3,82,Induction,700,70,3,i3.jpg
247,11,3,1,83,Gas,1300,60,5,g5.jpg
224,11,3,2,83,Electric,900,50,5,e5.jpg
60,11,3,3,83,Induction,700,80,3,i3.jpg
10,11,4,1,84,Gas,1100,50,3,g3.jpg
95,11,4,2,84,Electric,700,100,3,e3.jpg
120,11,4,3,84,Induction,1100,50,4,i4.jpg
58,11,5,1,85,Gas,700,80,3,g3.jpg
68,11,5,2,85,Electric,1300,80,3,e3.jpg
192,11,5,3,85,Induction,1100,90,4,i4.jpg
118,11,6,1,86,Gas,1100,50,4,g4.jpg
224,11,6,2,86,Electric,900,50,5,e5.jpg
54,11,6,3,86,Induction,1500,70,3,i3.jpg
49,11,7,1,87,Gas,1300,70,3,g3.jpg
92,11,7,2,87,Electric,500,100,3,e3.jpg
54,11,7,3,87,Induction,1500,70,3,i3.jpg
1,11,8,1,88,Gas,500,50,3,g3.jpg
314,11,8,2,88,Electric,900,100,5,e5.jpg
261,11,8,3,88,Induction,900,70,5,i5.jpg
280,12,1,1,89,Gas,1100,80,5,g5.jpg
260,12,1,2,89,Electric,900,70,5,e5.jpg
156,12,1,3,89,Induction,1100,70,4,i4.jpg
256,12,2,1,90,Gas,700,70,5,g5.jpg
179,12,2,2,90,Electric,1500,80,4,e4.jpg
276,12,2,3,90,Induction,700,80,5,i5.jpg
160,12,3,1,91,Gas,1500,70,4,g4.jpg
23,12,3,2,91,Electric,700,60,3,e3.jpg
105,12,3,3,91,Induction,1300,100,3,i3.jpg
223,12,4,1,92,Gas,900,50,5,g5.jpg
32,12,4,2,92,Electric,1300,60,3,e3.jpg
183,12,4,3,92,Induction,500,90,4,i4.jpg
13,12,5,1,93,Gas,1300,50,3,g3.jpg
221,12,5,2,93,Electric,700,50,5,e5.jpg
3,12,5,3,93,Induction,500,50,3,i3.jpg
187,12,6,1,94,Gas,900,90,4,g4.jpg
161,12,6,2,94,Electric,1500,70,4,e4.jpg
303,12,6,3,94,Induction,1300,90,5,i5.jpg
220,12,7,1,95,Gas,700,50,5,g5.jpg
173,12,7,2,95,Electric,1100,80,4,e4.jpg
81,12,7,3,95,Induction,900,90,3,i3.jpg
271,12,8,1,96,Gas,500,80,5,g5.jpg
65,12,8,2,96,Electric,1100,80,3,e3.jpg
57,12,8,3,96,Induction,500,80,3,i3.jpg
106,13,1,1,97,Gas,1500,100,3,g3.jpg
182,13,1,2,97,Electric,500,90,4,e4.jpg
123,13,1,3,97,Induction,1300,50,4,i4.jpg
115,13,2,1,98,Gas,900,50,4,g4.jpg
11,13,2,2,98,Electric,1100,50,3,e3.jpg
45,13,2,3,98,Induction,900,70,3,i3.jpg
223,13,3,1,99,Gas,900,50,5,g5.jpg
209,13,3,2,99,Electric,1100,100,4,e4.jpg
264,13,3,3,99,Induction,1100,70,5,i5.jpg
145,13,4,1,100,Gas,500,70,4,g4.jpg
299,13,4,2,100,Electric,1100,90,5,e5.jpg
207,13,4,3,100,Induction,900,100,4,i4.jpg
205,13,5,1,101,Gas,900,100,4,g4.jpg
281,13,5,2,101,Electric,1100,80,5,e5.jpg
195,13,5,3,101,Induction,1300,90,4,i4.jpg
298,13,6,1,102,Gas,1100,90,5,g5.jpg
194,13,6,2,102,Electric,1300,90,4,e4.jpg
33,13,6,3,102,Induction,1300,60,3,i3.jpg
265,13,7,1,103,Gas,1300,70,5,g5.jpg
272,13,7,2,103,Electric,500,80,5,e5.jpg
318,13,7,3,103,Induction,1100,100,5,i5.jpg
16,13,8,1,104,Gas,1500,50,3,g3.jpg
23,13,8,2,104,Electric,700,60,3,e3.jpg
309,13,8,3,104,Induction,500,100,5,i5.jpg
319,14,1,1,105,Gas,1300,100,5,g5.jpg
131,14,1,2,105,Electric,700,60,4,e4.jpg
198,14,1,3,105,Induction,1500,90,4,i4.jpg
247,14,2,1,106,Gas,1300,60,5,g5.jpg
47,14,2,2,106,Electric,1100,70,3,e3.jpg
246,14,2,3,106,Induction,1100,60,5,i5.jpg
301,14,3,1,107,Gas,1300,90,5,g5.jpg
194,14,3,2,107,Electric,1300,90,4,e4.jpg
93,14,3,3,107,Induction,500,100,3,i3.jpg
157,14,4,1,108,Gas,1300,70,4,g4.jpg
317,14,4,2,108,Electric,1100,100,5,e5.jpg
297,14,4,3,108,Induction,900,90,5,i5.jpg
70,14,5,1,109,Gas,1500,80,3,g3.jpg
77,14,5,2,109,Electric,700,90,3,e3.jpg
258,14,5,3,109,Induction,700,70,5,i5.jpg
79,14,6,1,110,Gas,900,90,3,g3.jpg
275,14,6,2,110,Electric,700,80,5,e5.jpg
114,14,6,3,110,Induction,700,50,4,i4.jpg
208,14,7,1,111,Gas,1100,100,4,g4.jpg
32,14,7,2,111,Electric,1300,60,3,e3.jpg
267,14,7,3,111,Induction,1300,70,5,i5.jpg
118,14,8,1,112,Gas,1100,50,4,g4.jpg
290,14,8,2,112,Electric,500,90,5,e5.jpg
18,14,8,3,112,Induction,1500,50,3,i3.jpg
256,15,1,1,113,Gas,700,70,5,g5.jpg
8,15,1,2,113,Electric,900,50,3,e3.jpg
231,15,1,3,113,Induction,1300,50,5,i5.jpg
79,15,2,1,114,Gas,900,90,3,g3.jpg
50,15,2,2,114,Electric,1300,70,3,e3.jpg
279,15,2,3,114,Induction,900,80,5,i5.jpg
187,15,3,1,115,Gas,900,90,4,g4.jpg
65,15,3,2,115,Electric,1100,80,3,e3.jpg
81,15,3,3,115,Induction,900,90,3,i3.jpg
49,15,4,1,116,Gas,1300,70,3,g3.jpg
92,15,4,2,116,Electric,500,100,3,e3.jpg
105,15,4,3,116,Induction,1300,100,3,i3.jpg
34,15,5,1,117,Gas,1500,60,3,g3.jpg
272,15,5,2,117,Electric,500,80,5,e5.jpg
81,15,5,3,117,Induction,900,90,3,i3.jpg
73,15,6,1,118,Gas,500,90,3,g3.jpg
251,15,6,2,118,Electric,1500,60,5,e5.jpg
9,15,6,3,118,Induction,900,50,3,i3.jpg
145,15,7,1,119,Gas,500,70,4,g4.jpg
236,15,7,2,119,Electric,500,60,5,e5.jpg
171,15,7,3,119,Induction,900,80,4,i4.jpg
22,15,8,1,120,Gas,700,60,3,g3.jpg
65,15,8,2,120,Electric,1100,80,3,e3.jpg
291,15,8,3,120,Induction,500,90,5,i5.jpg
25,16,1,1,121,Gas,900,60,3,g3.jpg
32,16,1,2,121,Electric,1300,60,3,e3.jpg
237,16,1,3,121,Induction,500,60,5,i5.jpg
235,16,2,1,122,Gas,500,60,5,g5.jpg
53,16,2,2,122,Electric,1500,70,3,e3.jpg
135,16,2,3,122,Induction,900,60,4,i4.jpg
19,16,3,1,123,Gas,500,60,3,g3.jpg
20,16,3,2,123,Electric,500,60,3,e3.jpg
15,16,3,3,123,Induction,1300,50,3,i3.jpg
256,16,4,1,124,Gas,700,70,5,g5.jpg
32,16,4,2,124,Electric,1300,60,3,e3.jpg
3,16,4,3,124,Induction,500,50,3,i3.jpg
4,16,5,1,125,Gas,700,50,3,g3.jpg
236,16,5,2,125,Electric,500,60,5,e5.jpg
42,16,5,3,125,Induction,700,70,3,i3.jpg
310,16,6,1,126,Gas,700,100,5,g5.jpg
23,16,6,2,126,Electric,700,60,3,e3.jpg
18,16,6,3,126,Induction,1500,50,3,i3.jpg
58,16,7,1,127,Gas,700,80,3,g3.jpg
278,16,7,2,127,Electric,900,80,5,e5.jpg
294,16,7,3,127,Induction,700,90,5,i5.jpg
118,16,8,1,128,Gas,1100,50,4,g4.jpg
116,16,8,2,128,Electric,900,50,4,e4.jpg
285,16,8,3,128,Induction,1300,80,5,i5.jpg
211,17,1,1,129,Gas,1300,100,4,g4.jpg
50,17,1,2,129,Electric,1300,70,3,e3.jpg
99,17,1,3,129,Induction,900,100,3,i3.jpg
163,17,2,1,130,Gas,500,80,4,g4.jpg
5,17,2,2,130,Electric,700,50,3,e3.jpg
120,17,2,3,130,Induction,1100,50,4,i4.jpg
130,17,3,1,131,Gas,700,60,4,g4.jpg
176,17,3,2,131,Electric,1300,80,4,e4.jpg
21,17,3,3,131,Induction,500,60,3,i3.jpg
220,17,4,1,132,Gas,700,50,5,g5.jpg
251,17,4,2,132,Electric,1500,60,5,e5.jpg
231,17,4,3,132,Induction,1300,50,5,i5.jpg
127,17,5,1,133,Gas,500,60,4,g4.jpg
182,17,5,2,133,Electric,500,90,4,e4.jpg
312,17,5,3,133,Induction,700,100,5,i5.jpg
208,17,6,1,134,Gas,1100,100,4,g4.jpg
17,17,6,2,134,Electric,1500,50,3,e3.jpg
99,17,6,3,134,Induction,900,100,3,i3.jpg
49,17,7,1,135,Gas,1300,70,3,g3.jpg
245,17,7,2,135,Electric,1100,60,5,e5.jpg
9,17,7,3,135,Induction,900,50,3,i3.jpg
295,17,8,1,136,Gas,900,90,5,g5.jpg
149,17,8,2,136,Electric,700,70,4,e4.jpg
252,17,8,3,136,Induction,1500,60,5,i5.jpg
175,18,1,1,137,Gas,1300,80,4,g4.jpg
185,18,1,2,137,Electric,700,90,4,e4.jpg
9,18,1,3,137,Induction,900,50,3,i3.jpg
223,18,2,1,138,Gas,900,50,5,g5.jpg
179,18,2,2,138,Electric,1500,80,4,e4.jpg
111,18,2,3,138,Induction,500,50,4,i4.jpg
226,18,3,1,139,Gas,1100,50,5,g5.jpg
248,18,3,2,139,Electric,1300,60,5,e5.jpg
108,18,3,3,139,Induction,1500,100,3,i3.jpg
169,18,4,1,140,Gas,900,80,4,g4.jpg
236,18,4,2,140,Electric,500,60,5,e5.jpg
264,18,4,3,140,Induction,1100,70,5,i5.jpg
46,18,5,1,141,Gas,1100,70,3,g3.jpg
320,18,5,2,141,Electric,1300,100,5,e5.jpg
111,18,5,3,141,Induction,500,50,4,i4.jpg
322,18,6,1,142,Gas,1500,100,5,g5.jpg
161,18,6,2,142,Electric,1500,70,4,e4.jpg
273,18,6,3,142,Induction,500,80,5,i5.jpg
280,18,7,1,143,Gas,1100,80,5,g5.jpg
176,18,7,2,143,Electric,1300,80,4,e4.jpg
108,18,7,3,143,Induction,1500,100,3,i3.jpg
124,18,8,1,144,Gas,1500,50,4,g4.jpg
293,18,8,2,144,Electric,700,90,5,e5.jpg
207,18,8,3,144,Induction,900,100,4,i4.jpg
205,19,1,1,145,Gas,900,100,4,g4.jpg
245,19,1,2,145,Electric,1100,60,5,e5.jpg
243,19,1,3,145,Induction,900,60,5,i5.jpg
211,19,2,1,146,Gas,1300,100,4,g4.jpg
266,19,2,2,146,Electric,1300,70,5,e5.jpg
267,19,2,3,146,Induction,1300,70,5,i5.jpg
235,19,3,1,147,Gas,500,60,5,g5.jpg
197,19,3,2,147,Electric,1500,90,4,e4.jpg
99,19,3,3,147,Induction,900,100,3,i3.jpg
286,19,4,1,148,Gas,1500,80,5,g5.jpg
221,19,4,2,148,Electric,700,50,5,e5.jpg
60,19,4,3,148,Induction,700,80,3,i3.jpg
211,19,5,1,149,Gas,1300,100,4,g4.jpg
278,19,5,2,149,Electric,900,80,5,e5.jpg
207,19,5,3,149,Induction,900,100,4,i4.jpg
25,19,6,1,150,Gas,900,60,3,g3.jpg
290,19,6,2,150,Electric,500,90,5,e5.jpg
252,19,6,3,150,Induction,1500,60,5,i5.jpg
238,19,7,1,151,Gas,700,60,5,g5.jpg
230,19,7,2,151,Electric,1300,50,5,e5.jpg
204,19,7,3,151,Induction,700,100,4,i4.jpg
55,19,8,1,152,Gas,500,80,3,g3.jpg
152,19,8,2,152,Electric,900,70,4,e4.jpg
270,19,8,3,152,Induction,1500,70,5,i5.jpg
226,20,1,1,153,Gas,1100,50,5,g5.jpg
191,20,1,2,153,Electric,1100,90,4,e4.jpg
120,20,1,3,153,Induction,1100,50,4,i4.jpg
169,20,2,1,154,Gas,900,80,4,g4.jpg
185,20,2,2,154,Electric,700,90,4,e4.jpg
222,20,2,3,154,Induction,700,50,5,i5.jpg
139,20,3,1,155,Gas,1300,60,4,g4.jpg
311,20,3,2,155,Electric,700,100,5,e5.jpg
306,20,3,3,155,Induction,1500,90,5,i5.jpg
184,20,4,1,156,Gas,700,90,4,g4.jpg
290,20,4,2,156,Electric,500,90,5,e5.jpg
198,20,4,3,156,Induction,1500,90,4,i4.jpg
10,20,5,1,157,Gas,1100,50,3,g3.jpg
254,20,5,2,157,Electric,500,70,5,e5.jpg
108,20,5,3,157,Induction,1500,100,3,i3.jpg
100,20,6,1,158,Gas,1100,100,3,g3.jpg
83,20,6,2,158,Electric,1100,90,3,e3.jpg
294,20,6,3,158,Induction,700,90,5,i5.jpg
64,20,7,1,159,Gas,1100,80,3,g3.jpg
260,20,7,2,159,Electric,900,70,5,e5.jpg
273,20,7,3,159,Induction,500,80,5,i5.jpg
22,20,8,1,160,Gas,700,60,3,g3.jpg
2,20,8,2,160,Electric,500,50,3,e3.jpg
321,20,8,3,160,Induction,1300,100,5,i5.jpg
298,21,1,1,161,Gas,1100,90,5,g5.jpg
191,21,1,2,161,Electric,1100,90,4,e4.jpg
108,21,1,3,161,Induction,1500,100,3,i3.jpg
82,21,2,1,162,Gas,1100,90,3,g3.jpg
176,21,2,2,162,Electric,1300,80,4,e4.jpg
69,21,2,3,162,Induction,1300,80,3,i3.jpg
34,21,3,1,163,Gas,1500,60,3,g3.jpg
287,21,3,2,163,Electric,1500,80,5,e5.jpg
216,21,3,3,163,Induction,1500,100,4,i4.jpg
82,21,4,1,164,Gas,1100,90,3,g3.jpg
17,21,4,2,164,Electric,1500,50,3,e3.jpg
144,21,4,3,164,Induction,1500,60,4,i4.jpg
271,21,5,1,165,Gas,500,80,5,g5.jpg
26,21,5,2,165,Electric,900,60,3,e3.jpg
162,21,5,3,165,Induction,1500,70,4,i4.jpg
46,21,6,1,166,Gas,1100,70,3,g3.jpg
188,21,6,2,166,Electric,900,90,4,e4.jpg
78,21,6,3,166,Induction,700,90,3,i3.jpg
193,21,7,1,167,Gas,1300,90,4,g4.jpg
230,21,7,2,167,Electric,1300,50,5,e5.jpg
240,21,7,3,167,Induction,700,60,5,i5.jpg
121,21,8,1,168,Gas,1300,50,4,g4.jpg
68,21,8,2,168,Electric,1300,80,3,e3.jpg
24,21,8,3,168,Induction,700,60,3,i3.jpg
1,22,1,1,169,Gas,500,50,3,g3.jpg
