profileID,respID,qID,altID,obsID,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,Indoor_air_Quality,number_of_burners
118,3,7,1,23,Gas,500,7,5,4
159,3,7,2,23,Induction,800,8,10,4
225,3,7,3,23,Induction,1500,6,10,5
135,3,8,1,24,Induction,1500,8,5,4
143,3,8,2,24,Electric,1500,6,10,4
92,3,8,3,24,Electric,500,7,0,4
127,4,1,1,25,Gas,500,8,5,4
145,4,1,2,25,Gas,500,7,10,4
23,4,1,3,25,Electric,800,8,0,3
89,4,2,1,26,Electric,1500,6,0,4
121,4,2,2,26,Gas,800,7,5,4
59,4,2,3,26,Electric,800,6,10,3
176,4,3,1,27,Electric,800,7,0,5
16,4,3,2,27,Gas,1500,7,0,3
111,4,3,3,27,Induction,500,6,5,4
205,4,4,1,28,Gas,1500,7,5,5
41,4,4,2,28,Electric,800,7,5,3
198,4,4,3,28,Induction,1500,6,5,5
47,4,5,1,29,Electric,500,8,5,3
144,4,5,2,29,Induction,1500,6,10,4
214,4,5,3,29,Gas,1500,8,5,5
135,4,6,1,30,Induction,1500,8,5,4
22,4,6,2,30,Gas,800,8,0,3
143,4,6,3,30,Electric,1500,6,10,4
199,4,7,1,31,Gas,500,7,5,5
113,4,7,2,31,Electric,800,6,5,4
139,4,7,3,31,Gas,800,6,10,4
54,4,8,1,32,Induction,1500,8,5,3
218,4,8,2,32,Electric,500,6,10,5
113,4,8,3,32,Electric,800,6,5,4
212,5,1,1,33,Electric,800,8,5,5
130,5,1,2,33,Gas,800,8,5,4
198,5,1,3,33,Induction,1500,6,5,5
198,5,2,1,34,Induction,1500,6,5,5
92,5,2,2,34,Electric,500,7,0,4
235,5,2,3,34,Gas,500,8,10,5
87,5,3,1,35,Induction,800,6,0,4
154,5,3,2,35,Gas,500,8,10,4
97,5,3,3,35,Gas,1500,7,0,4
206,5,4,1,36,Electric,1500,7,5,5
47,5,4,2,36,Electric,500,8,5,3
169,5,4,3,36,Gas,1500,6,0,5
14,5,5,1,37,Electric,800,7,0,3
152,5,5,2,37,Electric,1500,7,10,4
119,5,5,3,37,Electric,500,7,5,4
139,5,6,1,38,Gas,800,6,10,4
218,5,6,2,38,Electric,500,6,10,5
106,5,6,3,38,Gas,1500,8,0,4
207,5,7,1,39,Induction,1500,7,5,5
37,5,7,2,39,Gas,500,7,5,3
74,5,7,3,39,Electric,500,8,10,3
47,5,8,1,40,Electric,500,8,5,3
177,5,8,2,40,Induction,800,7,0,5
38,5,8,3,40,Electric,500,7,5,3
145,6,1,1,41,Gas,500,7,10,4
179,6,1,2,41,Electric,1500,7,0,5
38,6,1,3,41,Electric,500,7,5,3
7,6,2,1,42,Gas,1500,6,0,3
186,6,2,2,42,Induction,800,8,0,5
159,6,2,3,42,Induction,800,8,10,4
126,6,3,1,43,Induction,1500,7,5,4
152,6,3,2,43,Electric,1500,7,10,4
119,6,3,3,43,Electric,500,7,5,4
10,6,4,1,44,Gas,500,7,0,3
177,6,4,2,44,Induction,800,7,0,5
208,6,4,3,44,Gas,500,8,5,5
135,6,5,1,45,Induction,1500,8,5,4
25,6,5,2,45,Gas,1500,8,0,3
17,6,5,3,45,Electric,1500,7,0,3
48,6,6,1,46,Induction,500,8,5,3
75,6,6,2,46,Induction,500,8,10,3
208,6,6,3,46,Gas,500,8,5,5
105,6,7,1,47,Induction,800,8,0,4
84,6,7,2,47,Induction,500,6,0,4
214,6,7,3,47,Gas,1500,8,5,5
228,6,8,1,48,Induction,500,7,10,5
178,6,8,2,48,Gas,1500,7,0,5
229,6,8,3,48,Gas,800,7,10,5
216,7,1,1,49,Induction,1500,8,5,5
93,7,1,2,49,Induction,500,7,0,4
21,7,1,3,49,Induction,500,8,0,3
238,7,2,1,50,Gas,800,8,10,5
37,7,2,2,50,Gas,500,7,5,3
178,7,2,3,50,Gas,1500,7,0,5
114,7,3,1,51,Induction,800,6,5,4
151,7,3,2,51,Gas,1500,7,10,4
186,7,3,3,51,Induction,800,8,0,5
240,7,4,1,52,Induction,800,8,10,5
114,7,4,2,52,Induction,800,6,5,4
149,7,4,3,52,Electric,800,7,10,4
238,7,5,1,53,Gas,800,8,10,5
206,7,5,2,53,Electric,1500,7,5,5
144,7,5,3,53,Induction,1500,6,10,4
153,7,6,1,54,Induction,1500,7,10,4
48,7,6,2,54,Induction,500,8,5,3
99,7,6,3,54,Induction,1500,7,0,4
180,7,7,1,55,Induction,1500,7,0,5
62,7,7,2,55,Electric,1500,6,10,3
26,7,7,3,55,Electric,1500,8,0,3
44,7,8,1,56,Electric,1500,7,5,3
172,7,8,2,56,Gas,500,7,0,5
145,7,8,3,56,Gas,500,7,10,4
93,8,1,1,57,Induction,500,7,0,4
178,8,1,2,57,Gas,1500,7,0,5
158,8,1,3,57,Electric,800,8,10,4
42,8,2,1,58,Induction,800,7,5,3
157,8,2,2,58,Gas,800,8,10,4
199,8,2,3,58,Gas,500,7,5,5
152,8,3,1,59,Electric,1500,7,10,4
151,8,3,2,59,Gas,1500,7,10,4
100,8,3,3,59,Gas,500,8,0,4
64,8,4,1,60,Gas,500,7,10,3
99,8,4,2,60,Induction,1500,7,0,4
68,8,4,3,60,Electric,800,7,10,3
34,8,5,1,61,Gas,1500,6,5,3
151,8,5,2,61,Gas,1500,7,10,4
217,8,5,3,61,Gas,500,6,10,5
142,8,6,1,62,Gas,1500,6,10,4
136,8,6,2,62,Gas,500,6,10,4
28,8,6,3,62,Gas,500,6,5,3
130,8,7,1,63,Gas,800,8,5,4
209,8,7,2,63,Electric,500,8,5,5
207,8,7,3,63,Induction,1500,7,5,5
198,8,8,1,64,Induction,1500,6,5,5
21,8,8,2,64,Induction,500,8,0,3
168,8,8,3,64,Induction,800,6,0,5
44,9,1,1,65,Electric,1500,7,5,3
112,9,1,2,65,Gas,800,6,5,4
163,9,1,3,65,Gas,500,6,0,5
154,9,2,1,66,Gas,500,8,10,4
215,9,2,2,66,Electric,1500,8,5,5
29,9,2,3,66,Electric,500,6,5,3
186,9,3,1,67,Induction,800,8,0,5
167,9,3,2,67,Electric,800,6,0,5
213,9,3,3,67,Induction,800,8,5,5
74,9,4,1,68,Electric,500,8,10,3
180,9,4,2,68,Induction,1500,7,0,5
179,9,4,3,68,Electric,1500,7,0,5
109,9,5,1,69,Gas,500,6,5,4
180,9,5,2,69,Induction,1500,7,0,5
233,9,5,3,69,Electric,1500,7,10,5
142,9,6,1,70,Gas,1500,6,10,4
59,9,6,2,70,Electric,800,6,10,3
240,9,6,3,70,Induction,800,8,10,5
193,9,7,1,71,Gas,800,6,5,5
164,9,7,2,71,Electric,500,6,0,5
80,9,7,3,71,Electric,1500,8,10,3
155,9,8,1,72,Electric,500,8,10,4
51,9,8,2,72,Induction,800,8,5,3
50,9,8,3,72,Electric,800,8,5,3
64,10,1,1,73,Gas,500,7,10,3
41,10,1,2,73,Electric,800,7,5,3
2,10,1,3,73,Electric,500,6,0,3
23,10,2,1,74,Electric,800,8,0,3
218,10,2,2,74,Electric,500,6,10,5
236,10,2,3,74,Electric,500,8,10,5
58,10,3,1,75,Gas,800,6,10,3
188,10,3,2,75,Electric,1500,8,0,5
47,10,3,3,75,Electric,500,8,5,3
235,10,4,1,76,Gas,500,8,10,5
238,10,4,2,76,Gas,800,8,10,5
202,10,4,3,76,Gas,800,7,5,5
29,10,5,1,77,Electric,500,6,5,3
104,10,5,2,77,Electric,800,8,0,4
11,10,5,3,77,Electric,500,7,0,3
7,10,6,1,78,Gas,1500,6,0,3
64,10,6,2,78,Gas,500,7,10,3
226,10,6,3,78,Gas,500,7,10,5
53,10,7,1,79,Electric,1500,8,5,3
209,10,7,2,79,Electric,500,8,5,5
152,10,7,3,79,Electric,1500,7,10,4
156,10,8,1,80,Induction,500,8,10,4
212,10,8,2,80,Electric,800,8,5,5
8,10,8,3,80,Electric,1500,6,0,3
130,11,1,1,81,Gas,800,8,5,4
86,11,1,2,81,Electric,800,6,0,4
159,11,1,3,81,Induction,800,8,10,4
185,11,2,1,82,Electric,800,8,0,5
141,11,2,2,82,Induction,800,6,10,4
30,11,2,3,82,Induction,500,6,5,3
54,11,3,1,83,Induction,1500,8,5,3
13,11,3,2,83,Gas,800,7,0,3
69,11,3,3,83,Induction,800,7,10,3
40,11,4,1,84,Gas,800,7,5,3
159,11,4,2,84,Induction,800,8,10,4
31,11,4,3,84,Gas,800,6,5,3
104,11,5,1,85,Electric,800,8,0,4
143,11,5,2,85,Electric,1500,6,10,4
140,11,5,3,85,Electric,800,6,10,4
80,11,6,1,86,Electric,1500,8,10,3
209,11,6,2,86,Electric,500,8,5,5
83,11,6,3,86,Electric,500,6,0,4
132,11,7,1,87,Induction,800,8,5,4
119,11,7,2,87,Electric,500,7,5,4
98,11,7,3,87,Electric,1500,7,0,4
100,11,8,1,88,Gas,500,8,0,4
29,11,8,2,88,Electric,500,6,5,3
238,11,8,3,88,Gas,800,8,10,5
190,12,1,1,89,Gas,500,6,5,5
105,12,1,2,89,Induction,800,8,0,4
101,12,1,3,89,Electric,500,8,0,4
179,12,2,1,90,Electric,1500,7,0,5
157,12,2,2,90,Gas,800,8,10,4
221,12,2,3,90,Electric,800,6,10,5
84,12,3,1,91,Induction,500,6,0,4
16,12,3,2,91,Gas,1500,7,0,3
30,12,3,3,91,Induction,500,6,5,3
31,12,4,1,92,Gas,800,6,5,3
5,12,4,2,92,Electric,800,6,0,3
242,12,4,3,92,Electric,1500,8,10,5
204,12,5,1,93,Induction,800,7,5,5
206,12,5,2,93,Electric,1500,7,5,5
8,12,5,3,93,Electric,1500,6,0,3
187,12,6,1,94,Gas,1500,8,0,5
177,12,6,2,94,Induction,800,7,0,5
23,12,6,3,94,Electric,800,8,0,3
171,12,7,1,95,Induction,1500,6,0,5
46,12,7,2,95,Gas,500,8,5,3
198,12,7,3,95,Induction,1500,6,5,5
55,12,8,1,96,Gas,500,6,10,3
194,12,8,2,96,Electric,800,6,5,5
15,12,8,3,96,Induction,800,7,0,3
89,13,1,1,97,Electric,1500,6,0,4
5,13,1,2,97,Electric,800,6,0,3
54,13,1,3,97,Induction,1500,8,5,3
167,13,2,1,98,Electric,800,6,0,5
155,13,2,2,98,Electric,500,8,10,4
165,13,2,3,98,Induction,500,6,0,5
139,13,3,1,99,Gas,800,6,10,4
144,13,3,2,99,Induction,1500,6,10,4
5,13,3,3,99,Electric,800,6,0,3
20,13,4,1,100,Electric,500,8,0,3
135,13,4,2,100,Induction,1500,8,5,4
178,13,4,3,100,Gas,1500,7,0,5
98,13,5,1,101,Electric,1500,7,0,4
133,13,5,2,101,Gas,1500,8,5,4
113,13,5,3,101,Electric,800,6,5,4
52,13,6,1,102,Gas,1500,8,5,3
149,13,6,2,102,Electric,800,7,10,4
92,13,6,3,102,Electric,500,7,0,4
29,13,7,1,103,Electric,500,6,5,3
159,13,7,2,103,Induction,800,8,10,4
238,13,7,3,103,Gas,800,8,10,5
128,13,8,1,104,Electric,500,8,5,4
201,13,8,2,104,Induction,500,7,5,5
101,13,8,3,104,Electric,500,8,0,4
231,14,1,1,105,Induction,800,7,10,5
78,14,1,2,105,Induction,800,8,10,3
123,14,1,3,105,Induction,800,7,5,4
2,14,2,1,106,Electric,500,6,0,3
133,14,2,2,106,Gas,1500,8,5,4
121,14,2,3,106,Gas,800,7,5,4
208,14,3,1,107,Gas,500,8,5,5
117,14,3,2,107,Induction,1500,6,5,4
83,14,3,3,107,Electric,500,6,0,4
154,14,4,1,108,Gas,500,8,10,4
212,14,4,2,108,Electric,800,8,5,5
139,14,4,3,108,Gas,800,6,10,4
229,14,5,1,109,Gas,800,7,10,5
96,14,5,2,109,Induction,800,7,0,4
52,14,5,3,109,Gas,1500,8,5,3
128,14,6,1,110,Electric,500,8,5,4
68,14,6,2,110,Electric,800,7,10,3
99,14,6,3,110,Induction,1500,7,0,4
35,14,7,1,111,Electric,1500,6,5,3
137,14,7,2,111,Electric,500,6,10,4
39,14,7,3,111,Induction,500,7,5,3
134,14,8,1,112,Electric,1500,8,5,4
93,14,8,2,112,Induction,500,7,0,4
83,14,8,3,112,Electric,500,6,0,4
92,15,1,1,113,Electric,500,7,0,4
58,15,1,2,113,Gas,800,6,10,3
79,15,1,3,113,Gas,1500,8,10,3
216,15,2,1,114,Induction,1500,8,5,5
166,15,2,2,114,Gas,800,6,0,5
57,15,2,3,114,Induction,500,6,10,3
102,15,3,1,115,Induction,500,8,0,4
73,15,3,2,115,Gas,500,8,10,3
168,15,3,3,115,Induction,800,6,0,5
49,15,4,1,116,Gas,800,8,5,3
32,15,4,2,116,Electric,800,6,5,3
99,15,4,3,116,Induction,1500,7,0,4
209,15,5,1,117,Electric,500,8,5,5
183,15,5,2,117,Induction,500,8,0,5
35,15,5,3,117,Electric,1500,6,5,3
230,15,6,1,118,Electric,800,7,10,5
235,15,6,2,118,Gas,500,8,10,5
69,15,6,3,118,Induction,800,7,10,3
150,15,7,1,119,Induction,800,7,10,4
205,15,7,2,119,Gas,1500,7,5,5
169,15,7,3,119,Gas,1500,6,0,5
16,15,8,1,120,Gas,1500,7,0,3
115,15,8,2,120,Gas,1500,6,5,4
54,15,8,3,120,Induction,1500,8,5,3
215,16,1,1,121,Electric,1500,8,5,5
56,16,1,2,121,Electric,500,6,10,3
120,16,1,3,121,Induction,500,7,5,4
230,16,2,1,122,Electric,800,7,10,5
129,16,2,2,122,Induction,500,8,5,4
215,16,2,3,122,Electric,1500,8,5,5
166,16,3,1,123,Gas,800,6,0,5
83,16,3,2,123,Electric,500,6,0,4
75,16,3,3,123,Induction,500,8,10,3
228,16,4,1,124,Induction,500,7,10,5
170,16,4,2,124,Electric,1500,6,0,5
220,16,4,3,124,Gas,800,6,10,5
186,16,5,1,125,Induction,800,8,0,5
130,16,5,2,125,Gas,800,8,5,4
223,16,5,3,125,Gas,1500,6,10,5
99,16,6,1,126,Induction,1500,7,0,4
100,16,6,2,126,Gas,500,8,0,4
91,16,6,3,126,Gas,500,7,0,4
126,16,7,1,127,Induction,1500,7,5,4
116,16,7,2,127,Electric,1500,6,5,4
92,16,7,3,127,Electric,500,7,0,4
159,16,8,1,128,Induction,800,8,10,4
13,16,8,2,128,Gas,800,7,0,3
241,16,8,3,128,Gas,1500,8,10,5
220,17,1,1,129,Gas,800,6,10,5
88,17,1,2,129,Gas,1500,6,0,4
72,17,1,3,129,Induction,1500,7,10,3
80,17,2,1,130,Electric,1500,8,10,3
58,17,2,2,130,Gas,800,6,10,3
220,17,2,3,130,Gas,800,6,10,5
52,17,3,1,131,Gas,1500,8,5,3
189,17,3,2,131,Induction,1500,8,0,5
37,17,3,3,131,Gas,500,7,5,3
23,17,4,1,132,Electric,800,8,0,3
86,17,4,2,132,Electric,800,6,0,4
21,17,4,3,132,Induction,500,8,0,3
214,17,5,1,133,Gas,1500,8,5,5
140,17,5,2,133,Electric,800,6,10,4
181,17,5,3,133,Gas,500,8,0,5
135,17,6,1,134,Induction,1500,8,5,4
174,17,6,2,134,Induction,500,7,0,5
191,17,6,3,134,Electric,500,6,5,5
4,17,7,1,135,Gas,800,6,0,3
11,17,7,2,135,Electric,500,7,0,3
232,17,7,3,135,Gas,1500,7,10,5
96,17,8,1,136,Induction,800,7,0,4
145,17,8,2,136,Gas,500,7,10,4
202,17,8,3,136,Gas,800,7,5,5
132,18,1,1,137,Induction,800,8,5,4
67,18,1,2,137,Gas,800,7,10,3
180,18,1,3,137,Induction,1500,7,0,5
130,18,2,1,138,Gas,800,8,5,4
38,18,2,2,138,Electric,500,7,5,3
93,18,2,3,138,Induction,500,7,0,4
99,18,3,1,139,Induction,1500,7,0,4
42,18,3,2,139,Induction,800,7,5,3
15,18,3,3,139,Induction,800,7,0,3
208,18,4,1,140,Gas,500,8,5,5
31,18,4,2,140,Gas,800,6,5,3
27,18,4,3,140,Induction,1500,8,0,3
204,18,5,1,141,Induction,800,7,5,5
235,18,5,2,141,Gas,500,8,10,5
101,18,5,3,141,Electric,500,8,0,4
159,18,6,1,142,Induction,800,8,10,4
144,18,6,2,142,Induction,1500,6,10,4
156,18,6,3,142,Induction,500,8,10,4
44,18,7,1,143,Electric,1500,7,5,3
176,18,7,2,143,Electric,800,7,0,5
135,18,7,3,143,Induction,1500,8,5,4
125,18,8,1,144,Electric,1500,7,5,4
184,18,8,2,144,Gas,800,8,0,5
145,18,8,3,144,Gas,500,7,10,4
238,19,1,1,145,Gas,800,8,10,5
223,19,1,2,145,Gas,1500,6,10,5
14,19,1,3,145,Electric,800,7,0,3
145,19,2,1,146,Gas,500,7,10,4
175,19,2,2,146,Gas,800,7,0,5
107,19,2,3,146,Electric,1500,8,0,4
20,19,3,1,147,Electric,500,8,0,3
206,19,3,2,147,Electric,1500,7,5,5
141,19,3,3,147,Induction,800,6,10,4
149,19,4,1,148,Electric,800,7,10,4
220,19,4,2,148,Gas,800,6,10,5
222,19,4,3,148,Induction,800,6,10,5
162,19,5,1,149,Induction,1500,8,10,4
167,19,5,2,149,Electric,800,6,0,5
196,19,5,3,149,Gas,1500,6,5,5
40,19,6,1,150,Gas,800,7,5,3
44,19,6,2,150,Electric,1500,7,5,3
95,19,6,3,150,Electric,800,7,0,4
190,19,7,1,151,Gas,500,6,5,5
30,19,7,2,151,Induction,500,6,5,3
102,19,7,3,151,Induction,500,8,0,4
10,19,8,1,152,Gas,500,7,0,3
24,19,8,2,152,Induction,800,8,0,3
154,19,8,3,152,Gas,500,8,10,4
170,20,1,1,153,Electric,1500,6,0,5
87,20,1,2,153,Induction,800,6,0,4
61,20,1,3,153,Gas,1500,6,10,3
205,20,2,1,154,Gas,1500,7,5,5
213,20,2,2,154,Induction,800,8,5,5
129,20,2,3,154,Induction,500,8,5,4
14,20,3,1,155,Electric,800,7,0,3
75,20,3,2,155,Induction,500,8,10,3
93,20,3,3,155,Induction,500,7,0,4
33,20,4,1,156,Induction,800,6,5,3
94,20,4,2,156,Gas,800,7,0,4
20,20,4,3,156,Electric,500,8,0,3
149,20,5,1,157,Electric,800,7,10,4
53,20,5,2,157,Electric,1500,8,5,3
5,20,5,3,157,Electric,800,6,0,3
111,20,6,1,158,Induction,500,6,5,4
22,20,6,2,158,Gas,800,8,0,3
28,20,6,3,158,Gas,500,6,5,3
128,20,7,1,159,Electric,500,8,5,4
117,20,7,2,159,Induction,1500,6,5,4
193,20,7,3,159,Gas,800,6,5,5
6,20,8,1,160,Induction,800,6,0,3
241,20,8,2,160,Gas,1500,8,10,5
120,20,8,3,160,Induction,500,7,5,4
17,21,1,1,161,Electric,1500,7,0,3
39,21,1,2,161,Induction,500,7,5,3
159,21,1,3,161,Induction,800,8,10,4
66,21,2,1,162,Induction,500,7,10,3
13,21,2,2,162,Gas,800,7,0,3
41,21,2,3,162,Electric,800,7,5,3
36,21,3,1,163,Induction,1500,6,5,3
8,21,3,2,163,Electric,1500,6,0,3
186,21,3,3,163,Induction,800,8,0,5
163,21,4,1,164,Gas,500,6,0,5
74,21,4,2,164,Electric,500,8,10,3
106,21,4,3,164,Gas,1500,8,0,4
20,21,5,1,165,Electric,500,8,0,3
72,21,5,2,165,Induction,1500,7,10,3
84,21,5,3,165,Induction,500,6,0,4
209,21,6,1,166,Electric,500,8,5,5
55,21,6,2,166,Gas,500,6,10,3
239,21,6,3,166,Electric,800,8,10,5
106,21,7,1,167,Gas,1500,8,0,4
240,21,7,2,167,Induction,800,8,10,5
210,21,7,3,167,Induction,500,8,5,5
159,21,8,1,168,Induction,800,8,10,4
203,21,8,2,168,Electric,800,7,5,5
171,21,8,3,168,Induction,1500,6,0,5
54,22,1,1,169,Induction,1500,8,5,3
37,22,1,2,169,Gas,500,7,5,3
78,22,1,3,169,Induction,800,8,10,3
45,22,2,1,170,Induction,1500,7,5,3
200,22,2,2,170,Electric,500,7,5,5
50,22,2,3,170,Electric,800,8,5,3
93,22,3,1,171,Induction,500,7,0,4
167,22,3,2,171,Electric,800,6,0,5
111,22,3,3,171,Induction,500,6,5,4
195,22,4,1,172,Induction,800,6,5,5
134,22,4,2,172,Electric,1500,8,5,4
97,22,4,3,172,Gas,1500,7,0,4
111,22,5,1,173,Induction,500,6,5,4
235,22,5,2,173,Gas,500,8,10,5
138,22,5,3,173,Induction,500,6,10,4
108,22,6,1,174,Induction,1500,8,0,4
132,22,6,2,174,Induction,800,8,5,4
114,22,6,3,174,Induction,800,6,5,4
230,22,7,1,175,Electric,800,7,10,5
19,22,7,2,175,Gas,500,8,0,3
225,22,7,3,175,Induction,1500,6,10,5
154,22,8,1,176,Gas,500,8,10,4
129,22,8,2,176,Induction,500,8,5,4
153,22,8,3,176,Induction,1500,7,10,4
208,23,1,1,177,Gas,500,8,5,5
19,23,1,2,177,Gas,500,8,0,3
174,23,1,3,177,Induction,500,7,0,5
221,23,2,1,178,Electric,800,6,10,5
213,23,2,2,178,Induction,800,8,5,5
151,23,2,3,178,Gas,1500,7,10,4
17,23,3,1,179,Electric,1500,7,0,3
3,23,3,2,179,Induction,500,6,0,3
46,23,3,3,179,Gas,500,8,5,3
15,23,4,1,180,Induction,800,7,0,3
236,23,4,2,180,Electric,500,8,10,5
134,23,4,3,180,Electric,1500,8,5,4
151,23,5,1,181,Gas,1500,7,10,4
68,23,5,2,181,Electric,800,7,10,3
211,23,5,3,181,Gas,800,8,5,5
95,23,6,1,182,Electric,800,7,0,4
117,23,6,2,182,Induction,1500,6,5,4
42,23,6,3,182,Induction,800,7,5,3
110,23,7,1,183,Electric,500,6,5,4
186,23,7,2,183,Induction,800,8,0,5
239,23,7,3,183,Electric,800,8,10,5
176,23,8,1,184,Electric,800,7,0,5
50,23,8,2,184,Electric,800,8,5,3
173,23,8,3,184,Electric,500,7,0,5
35,24,1,1,185,Electric,1500,6,5,3
29,24,1,2,185,Electric,500,6,5,3
71,24,1,3,185,Electric,1500,7,10,3
233,24,2,1,186,Electric,1500,7,10,5
16,24,2,2,186,Gas,1500,7,0,3
214,24,2,3,186,Gas,1500,8,5,5
224,24,3,1,187,Electric,1500,6,10,5
86,24,3,2,187,Electric,800,6,0,4
35,24,3,3,187,Electric,1500,6,5,3
222,24,4,1,188,Induction,800,6,10,5
82,24,4,2,188,Gas,500,6,0,4
155,24,4,3,188,Electric,500,8,10,4
140,24,5,1,189,Electric,800,6,10,4
156,24,5,2,189,Induction,500,8,10,4
95,24,5,3,189,Electric,800,7,0,4
11,24,6,1,190,Electric,500,7,0,3
141,24,6,2,190,Induction,800,6,10,4
201,24,6,3,190,Induction,500,7,5,5
133,24,7,1,191,Gas,1500,8,5,4
183,24,7,2,191,Induction,500,8,0,5
125,24,7,3,191,Electric,1500,7,5,4
153,24,8,1,192,Induction,1500,7,10,4
186,24,8,2,192,Induction,800,8,0,5
129,24,8,3,192,Induction,500,8,5,4
19,25,1,1,193,Gas,500,8,0,3
209,25,1,2,193,Electric,500,8,5,5
188,25,1,3,193,Electric,1500,8,0,5
151,25,2,1,194,Gas,1500,7,10,4
132,25,2,2,194,Induction,800,8,5,4
91,25,2,3,194,Gas,500,7,0,4
167,25,3,1,195,Electric,800,6,0,5
32,25,3,2,195,Electric,800,6,5,3
149,25,3,3,195,Electric,800,7,10,4
74,25,4,1,196,Electric,500,8,10,3
28,25,4,2,196,Gas,500,6,5,3
124,25,4,3,196,Gas,1500,7,5,4
48,25,5,1,197,Induction,500,8,5,3
131,25,5,2,197,Electric,800,8,5,4
124,25,5,3,197,Gas,1500,7,5,4
133,25,6,1,198,Gas,1500,8,5,4
206,25,6,2,198,Electric,1500,7,5,5
108,25,6,3,198,Induction,1500,8,0,4
175,25,7,1,199,Gas,800,7,0,5
36,25,7,2,199,Induction,1500,6,5,3
80,25,7,3,199,Electric,1500,8,10,3
112,25,8,1,200,Gas,800,6,5,4
136,25,8,2,200,Gas,500,6,10,4
67,25,8,3,200,Gas,800,7,10,3
60,26,1,1,201,Induction,800,6,10,3
201,26,1,2,201,Induction,500,7,5,5
14,26,1,3,201,Electric,800,7,0,3
209,26,2,1,202,Electric,500,8,5,5
77,26,2,2,202,Electric,800,8,10,3
35,26,2,3,202,Electric,1500,6,5,3
202,26,3,1,203,Gas,800,7,5,5
16,26,3,2,203,Gas,1500,7,0,3
120,26,3,3,203,Induction,500,7,5,4
56,26,4,1,204,Electric,500,6,10,3
135,26,4,2,204,Induction,1500,8,5,4
65,26,4,3,204,Electric,500,7,10,3
147,26,5,1,205,Induction,500,7,10,4
112,26,5,2,205,Gas,800,6,5,4
243,26,5,3,205,Induction,1500,8,10,5
106,26,6,1,206,Gas,1500,8,0,4
231,26,6,2,206,Induction,800,7,10,5
22,26,6,3,206,Gas,800,8,0,3
195,26,7,1,207,Induction,800,6,5,5
86,26,7,2,207,Electric,800,6,0,4
156,26,7,3,207,Induction,500,8,10,4
