profileID,respID,qID,altID,obsID,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,Indoor_air_Quality,number_of_burners,image
14,9,5,2,69,Electric,800,7,0,3,e3.jpg
114,9,5,3,69,Induction,800,6,5,4,i4.jpg
13,9,6,1,70,Gas,800,7,0,3,g3.jpg
14,9,6,2,70,Electric,800,7,0,3,e3.jpg
84,9,6,3,70,Induction,500,6,0,4,i4.jpg
10,9,7,1,71,Gas,500,7,0,3,g3.jpg
116,9,7,2,71,Electric,1500,6,5,4,e4.jpg
207,9,7,3,71,Induction,1500,7,5,5,i5.jpg
223,9,8,1,72,Gas,1500,6,10,5,g5.jpg
5,9,8,2,72,Electric,800,6,0,3,e3.jpg
192,9,8,3,72,Induction,500,6,5,5,i5.jpg
7,10,1,1,73,Gas,1500,6,0,3,g3.jpg
32,10,1,2,73,Electric,800,6,5,3,e3.jpg
66,10,1,3,73,Induction,500,7,10,3,i3.jpg
148,10,2,1,74,Gas,800,7,10,4,g4.jpg
59,10,2,2,74,Electric,800,6,10,3,e3.jpg
231,10,2,3,74,Induction,800,7,10,5,i5.jpg
4,10,3,1,75,Gas,800,6,0,3,g3.jpg
5,10,3,2,75,Electric,800,6,0,3,e3.jpg
24,10,3,3,75,Induction,800,8,0,3,i3.jpg
241,10,4,1,76,Gas,1500,8,10,5,g5.jpg
242,10,4,2,76,Electric,1500,8,10,5,e5.jpg
120,10,4,3,76,Induction,500,7,5,4,i4.jpg
82,10,5,1,77,Gas,500,6,0,4,g4.jpg
137,10,5,2,77,Electric,500,6,10,4,e4.jpg
66,10,5,3,77,Induction,500,7,10,3,i3.jpg
139,10,6,1,78,Gas,800,6,10,4,g4.jpg
197,10,6,2,78,Electric,1500,6,5,5,e5.jpg
18,10,6,3,78,Induction,1500,7,0,3,i3.jpg
211,10,7,1,79,Gas,800,8,5,5,g5.jpg
131,10,7,2,79,Electric,800,8,5,4,e4.jpg
27,10,7,3,79,Induction,1500,8,0,3,i3.jpg
88,10,8,1,80,Gas,1500,6,0,4,g4.jpg
134,10,8,2,80,Electric,1500,8,5,4,e4.jpg
183,10,8,3,80,Induction,500,8,0,5,i5.jpg
202,11,1,1,81,Gas,800,7,5,5,g5.jpg
56,11,1,2,81,Electric,500,6,10,3,e3.jpg
63,11,1,3,81,Induction,1500,6,10,3,i3.jpg
238,11,2,1,82,Gas,800,8,10,5,g5.jpg
86,11,2,2,82,Electric,800,6,0,4,e4.jpg
210,11,2,3,82,Induction,500,8,5,5,i5.jpg
82,11,3,1,83,Gas,500,6,0,4,g4.jpg
209,11,3,2,83,Electric,500,8,5,5,e5.jpg
60,11,3,3,83,Induction,800,6,10,3,i3.jpg
124,11,4,1,84,Gas,1500,7,5,4,g4.jpg
143,11,4,2,84,Electric,1500,6,10,4,e4.jpg
51,11,4,3,84,Induction,800,8,5,3,i3.jpg
142,11,5,1,85,Gas,1500,6,10,4,g4.jpg
191,11,5,2,85,Electric,500,6,5,5,e5.jpg
42,11,5,3,85,Induction,800,7,5,3,i3.jpg
196,11,6,1,86,Gas,1500,6,5,5,g5.jpg
212,11,6,2,86,Electric,800,8,5,5,e5.jpg
156,11,6,3,86,Induction,500,8,10,4,i4.jpg
193,11,7,1,87,Gas,800,6,5,5,g5.jpg
5,11,7,2,87,Electric,800,6,0,3,e3.jpg
84,11,7,3,87,Induction,500,6,0,4,i4.jpg
28,11,8,1,88,Gas,500,6,5,3,g3.jpg
140,11,8,2,88,Electric,800,6,10,4,e4.jpg
237,11,8,3,88,Induction,500,8,10,5,i5.jpg
58,12,1,1,89,Gas,800,6,10,3,g3.jpg
2,12,1,2,89,Electric,500,6,0,3,e3.jpg
234,12,1,3,89,Induction,1500,7,10,5,i5.jpg
58,12,2,1,90,Gas,800,6,10,3,g3.jpg
14,12,2,2,90,Electric,800,7,0,3,e3.jpg
21,12,2,3,90,Induction,500,8,0,3,i3.jpg
31,12,3,1,91,Gas,800,6,5,3,g3.jpg
128,12,3,2,91,Electric,500,8,5,4,e4.jpg
54,12,3,3,91,Induction,1500,8,5,3,i3.jpg
160,12,4,1,92,Gas,1500,8,10,4,g4.jpg
161,12,4,2,92,Electric,1500,8,10,4,e4.jpg
207,12,4,3,92,Induction,1500,7,5,5,i5.jpg
160,12,5,1,93,Gas,1500,8,10,4,g4.jpg
194,12,5,2,93,Electric,800,6,5,5,e5.jpg
12,12,5,3,93,Induction,500,7,0,3,i3.jpg
199,12,6,1,94,Gas,500,7,5,5,g5.jpg
173,12,6,2,94,Electric,500,7,0,5,e5.jpg
240,12,6,3,94,Induction,800,8,10,5,i5.jpg
52,12,7,1,95,Gas,1500,8,5,3,g3.jpg
26,12,7,2,95,Electric,1500,8,0,3,e3.jpg
186,12,7,3,95,Induction,800,8,0,5,i5.jpg
160,12,8,1,96,Gas,1500,8,10,4,g4.jpg
107,12,8,2,96,Electric,1500,8,0,4,e4.jpg
138,12,8,3,96,Induction,500,6,10,4,i4.jpg
64,13,1,1,97,Gas,500,7,10,3,g3.jpg
65,13,1,2,97,Electric,500,7,10,3,e3.jpg
21,13,1,3,97,Induction,500,8,0,3,i3.jpg
10,13,2,1,98,Gas,500,7,0,3,g3.jpg
191,13,2,2,98,Electric,500,6,5,5,e5.jpg
219,13,2,3,98,Induction,500,6,10,5,i5.jpg
79,13,3,1,99,Gas,1500,8,10,3,g3.jpg
71,13,3,2,99,Electric,1500,7,10,3,e3.jpg
18,13,3,3,99,Induction,1500,7,0,3,i3.jpg
211,13,4,1,100,Gas,800,8,5,5,g5.jpg
239,13,4,2,100,Electric,800,8,10,5,e5.jpg
111,13,4,3,100,Induction,500,6,5,4,i4.jpg
196,13,5,1,101,Gas,1500,6,5,5,g5.jpg
68,13,5,2,101,Electric,800,7,10,3,e3.jpg
234,13,5,3,101,Induction,1500,7,10,5,i5.jpg
205,13,6,1,102,Gas,1500,7,5,5,g5.jpg
110,13,6,2,102,Electric,500,6,5,4,e4.jpg
36,13,6,3,102,Induction,1500,6,5,3,i3.jpg
88,13,7,1,103,Gas,1500,6,0,4,g4.jpg
200,13,7,2,103,Electric,500,7,5,5,e5.jpg
213,13,7,3,103,Induction,800,8,5,5,i5.jpg
199,13,8,1,104,Gas,500,7,5,5,g5.jpg
95,13,8,2,104,Electric,800,7,0,4,e4.jpg
33,13,8,3,104,Induction,800,6,5,3,i3.jpg
103,14,1,1,105,Gas,800,8,0,4,g4.jpg
179,14,1,2,105,Electric,1500,7,0,5,e5.jpg
186,14,1,3,105,Induction,800,8,0,5,i5.jpg
97,14,2,1,106,Gas,1500,7,0,4,g4.jpg
107,14,2,2,106,Electric,1500,8,0,4,e4.jpg
24,14,2,3,106,Induction,800,8,0,3,i3.jpg
109,14,3,1,107,Gas,500,6,5,4,g4.jpg
227,14,3,2,107,Electric,500,7,10,5,e5.jpg
21,14,3,3,107,Induction,500,8,0,3,i3.jpg
151,14,4,1,108,Gas,1500,7,10,4,g4.jpg
68,14,4,2,108,Electric,800,7,10,3,e3.jpg
132,14,4,3,108,Induction,800,8,5,4,i4.jpg
94,14,5,1,109,Gas,800,7,0,4,g4.jpg
86,14,5,2,109,Electric,800,6,0,4,e4.jpg
174,14,5,3,109,Induction,500,7,0,5,i5.jpg
217,14,6,1,110,Gas,500,6,10,5,g5.jpg
164,14,6,2,110,Electric,500,6,0,5,e5.jpg
39,14,6,3,110,Induction,500,7,5,3,i3.jpg
109,14,7,1,111,Gas,500,6,5,4,g4.jpg
23,14,7,2,111,Electric,800,8,0,3,e3.jpg
117,14,7,3,111,Induction,1500,6,5,4,i4.jpg
61,14,8,1,112,Gas,1500,6,10,3,g3.jpg
149,14,8,2,112,Electric,800,7,10,4,e4.jpg
195,14,8,3,112,Induction,800,6,5,5,i5.jpg
193,15,1,1,113,Gas,800,6,5,5,g5.jpg
191,15,1,2,113,Electric,500,6,5,5,e5.jpg
27,15,1,3,113,Induction,1500,8,0,3,i3.jpg
46,15,2,1,114,Gas,500,8,5,3,g3.jpg
68,15,2,2,114,Electric,800,7,10,3,e3.jpg
57,15,2,3,114,Induction,500,6,10,3,i3.jpg
106,15,3,1,115,Gas,1500,8,0,4,g4.jpg
119,15,3,2,115,Electric,500,7,5,4,e4.jpg
240,15,3,3,115,Induction,800,8,10,5,i5.jpg
151,15,4,1,116,Gas,1500,7,10,4,g4.jpg
230,15,4,2,116,Electric,800,7,10,5,e5.jpg
240,15,4,3,116,Induction,800,8,10,5,i5.jpg
16,15,5,1,117,Gas,1500,7,0,3,g3.jpg
161,15,5,2,117,Electric,1500,8,10,4,e4.jpg
69,15,5,3,117,Induction,800,7,10,3,i3.jpg
241,15,6,1,118,Gas,1500,8,10,5,g5.jpg
101,15,6,2,118,Electric,500,8,0,4,e4.jpg
156,15,6,3,118,Induction,500,8,10,4,i4.jpg
4,15,7,1,119,Gas,800,6,0,3,g3.jpg
98,15,7,2,119,Electric,1500,7,0,4,e4.jpg
165,15,7,3,119,Induction,500,6,0,5,i5.jpg
235,15,8,1,120,Gas,500,8,10,5,g5.jpg
176,15,8,2,120,Electric,800,7,0,5,e5.jpg
198,15,8,3,120,Induction,1500,6,5,5,i5.jpg
181,16,1,1,121,Gas,500,8,0,5,g5.jpg
182,16,1,2,121,Electric,500,8,0,5,e5.jpg
45,16,1,3,121,Induction,1500,7,5,3,i3.jpg
220,16,2,1,122,Gas,800,6,10,5,g5.jpg
11,16,2,2,122,Electric,500,7,0,3,e3.jpg
9,16,2,3,122,Induction,1500,6,0,3,i3.jpg
115,16,3,1,123,Gas,1500,6,5,4,g4.jpg
26,16,3,2,123,Electric,1500,8,0,3,e3.jpg
99,16,3,3,123,Induction,1500,7,0,4,i4.jpg
160,16,4,1,124,Gas,1500,8,10,4,g4.jpg
44,16,4,2,124,Electric,1500,7,5,3,e3.jpg
63,16,4,3,124,Induction,1500,6,10,3,i3.jpg
19,16,5,1,125,Gas,500,8,0,3,g3.jpg
62,16,5,2,125,Electric,1500,6,10,3,e3.jpg
201,16,5,3,125,Induction,500,7,5,5,i5.jpg
160,16,6,1,126,Gas,1500,8,10,4,g4.jpg
200,16,6,2,126,Electric,500,7,5,5,e5.jpg
240,16,6,3,126,Induction,800,8,10,5,i5.jpg
199,16,7,1,127,Gas,500,7,5,5,g5.jpg
113,16,7,2,127,Electric,800,6,5,4,e4.jpg
114,16,7,3,127,Induction,800,6,5,4,i4.jpg
193,16,8,1,128,Gas,800,6,5,5,g5.jpg
65,16,8,2,128,Electric,500,7,10,3,e3.jpg
48,16,8,3,128,Induction,500,8,5,3,i3.jpg
88,17,1,1,129,Gas,1500,6,0,4,g4.jpg
26,17,1,2,129,Electric,1500,8,0,3,e3.jpg
21,17,1,3,129,Induction,500,8,0,3,i3.jpg
154,17,2,1,130,Gas,500,8,10,4,g4.jpg
95,17,2,2,130,Electric,800,7,0,4,e4.jpg
66,17,2,3,130,Induction,500,7,10,3,i3.jpg
106,17,3,1,131,Gas,1500,8,0,4,g4.jpg
122,17,3,2,131,Electric,800,7,5,4,e4.jpg
144,17,3,3,131,Induction,1500,6,10,4,i4.jpg
145,17,4,1,132,Gas,500,7,10,4,g4.jpg
23,17,4,2,132,Electric,800,8,0,3,e3.jpg
105,17,4,3,132,Induction,800,8,0,4,i4.jpg
178,17,5,1,133,Gas,1500,7,0,5,g5.jpg
125,17,5,2,133,Electric,1500,7,5,4,e4.jpg
195,17,5,3,133,Induction,800,6,5,5,i5.jpg
199,17,6,1,134,Gas,500,7,5,5,g5.jpg
65,17,6,2,134,Electric,500,7,10,3,e3.jpg
234,17,6,3,134,Induction,1500,7,10,5,i5.jpg
73,17,7,1,135,Gas,500,8,10,3,g3.jpg
218,17,7,2,135,Electric,500,6,10,5,e5.jpg
78,17,7,3,135,Induction,800,8,10,3,i3.jpg
235,17,8,1,136,Gas,500,8,10,5,g5.jpg
131,17,8,2,136,Electric,800,8,5,4,e4.jpg
3,17,8,3,136,Induction,500,6,0,3,i3.jpg
58,18,1,1,137,Gas,800,6,10,3,g3.jpg
215,18,1,2,137,Electric,1500,8,5,5,e5.jpg
207,18,1,3,137,Induction,1500,7,5,5,i5.jpg
232,18,2,1,138,Gas,1500,7,10,5,g5.jpg
182,18,2,2,138,Electric,500,8,0,5,e5.jpg
150,18,2,3,138,Induction,800,7,10,4,i4.jpg
64,18,3,1,139,Gas,500,7,10,3,g3.jpg
59,18,3,2,139,Electric,800,6,10,3,e3.jpg
195,18,3,3,139,Induction,800,6,5,5,i5.jpg
28,18,4,1,140,Gas,500,6,5,3,g3.jpg
176,18,4,2,140,Electric,800,7,0,5,e5.jpg
240,18,4,3,140,Induction,800,8,10,5,i5.jpg
241,18,5,1,141,Gas,1500,8,10,5,g5.jpg
65,18,5,2,141,Electric,500,7,10,3,e3.jpg
123,18,5,3,141,Induction,800,7,5,4,i4.jpg
37,18,6,1,142,Gas,500,7,5,3,g3.jpg
8,18,6,2,142,Electric,1500,6,0,3,e3.jpg
81,18,6,3,142,Induction,1500,8,10,3,i3.jpg
226,18,7,1,143,Gas,500,7,10,5,g5.jpg
62,18,7,2,143,Electric,1500,6,10,3,e3.jpg
90,18,7,3,143,Induction,1500,6,0,4,i4.jpg
235,18,8,1,144,Gas,500,8,10,5,g5.jpg
11,18,8,2,144,Electric,500,7,0,3,e3.jpg
36,18,8,3,144,Induction,1500,6,5,3,i3.jpg
142,19,1,1,145,Gas,1500,6,10,4,g4.jpg
89,19,1,2,145,Electric,1500,6,0,4,e4.jpg
99,19,1,3,145,Induction,1500,7,0,4,i4.jpg
148,19,2,1,146,Gas,800,7,10,4,g4.jpg
47,19,2,2,146,Electric,500,8,5,3,e3.jpg
225,19,2,3,146,Induction,1500,6,10,5,i5.jpg
145,19,3,1,147,Gas,500,7,10,4,g4.jpg
230,19,3,2,147,Electric,800,7,10,5,e5.jpg
204,19,3,3,147,Induction,800,7,5,5,i5.jpg
70,19,4,1,148,Gas,1500,7,10,3,g3.jpg
116,19,4,2,148,Electric,1500,6,5,4,e4.jpg
123,19,4,3,148,Induction,800,7,5,4,i4.jpg
64,19,5,1,149,Gas,500,7,10,3,g3.jpg
236,19,5,2,149,Electric,500,8,10,5,e5.jpg
6,19,5,3,149,Induction,800,6,0,3,i3.jpg
157,19,6,1,150,Gas,800,8,10,4,g4.jpg
110,19,6,2,150,Electric,500,6,5,4,e4.jpg
39,19,6,3,150,Induction,500,7,5,3,i3.jpg
166,19,7,1,151,Gas,800,6,0,5,g5.jpg
224,19,7,2,151,Electric,1500,6,10,5,e5.jpg
216,19,7,3,151,Induction,1500,8,5,5,i5.jpg
151,19,8,1,152,Gas,1500,7,10,4,g4.jpg
176,19,8,2,152,Electric,800,7,0,5,e5.jpg
81,19,8,3,152,Induction,1500,8,10,3,i3.jpg
10,20,1,1,153,Gas,500,7,0,3,g3.jpg
86,20,1,2,153,Electric,800,6,0,4,e4.jpg
141,20,1,3,153,Induction,800,6,10,4,i4.jpg
142,20,2,1,154,Gas,1500,6,10,4,g4.jpg
62,20,2,2,154,Electric,1500,6,10,3,e3.jpg
213,20,2,3,154,Induction,800,8,5,5,i5.jpg
133,20,3,1,155,Gas,1500,8,5,4,g4.jpg
74,20,3,2,155,Electric,500,8,10,3,e3.jpg
9,20,3,3,155,Induction,1500,6,0,3,i3.jpg
172,20,4,1,156,Gas,500,7,0,5,g5.jpg
209,20,4,2,156,Electric,500,8,5,5,e5.jpg
216,20,4,3,156,Induction,1500,8,5,5,i5.jpg
28,20,5,1,157,Gas,500,6,5,3,g3.jpg
212,20,5,2,157,Electric,800,8,5,5,e5.jpg
159,20,5,3,157,Induction,800,8,10,4,i4.jpg
97,20,6,1,158,Gas,1500,7,0,4,g4.jpg
